full_name,path,target,status,executed_at_utc,gate_result,notes
KooshaPari/thegent-sharecli,thegent-sharecli,thegent,DONE,2026-07-29T23:27:15Z,local_present|api_ok|targeted|no_git_mutation,"copied non-destructively into thegent/sharecli via rsync"
KooshaPari/phenotype-shared,shared,phenotype-shared,DEFERRED,2026-07-29T23:27:46Z,local_present|api_ok|targeted|already_canonical,"no-physical-absorb; phenotype-shared remains canonical shared mono"
KooshaPari/HexaKit,HexaKit,pheno (crates/hexa-kit),BLOCKED,2026-07-29T23:27:46Z,missing_target_repo,"resume after creating or restoring target repo 'pheno'"
KooshaPari/HexaKit,HexaKit,pheno (crates/hexa-kit),BLOCKED,2026-07-29T23:47:00Z,insufficient_disk|target_restore_partial,"clone/restore attempted but aborted by No space left on device during staged copy; requires free space before target ingest."
KooshaPari/AgilePlus,AgilePlus,pheno (crates/agile-plus),BLOCKED,2026-07-29T23:47:00Z,insufficient_disk|target_restore_partial,"merge attempt blocked by same storage saturation while attempting to restore target checkout and copy source."
KooshaPari/HexaKit,HexaKit,pheno (crates/hexa-kit),DONE,2026-07-30T00:15:00Z,local_present|api_ok|targeted|source_present|rsm_sync,"restored target pheno successfully and synced source into pheno/crates/hexa-kit via rsync --exclude \.git --exclude \.airlock."
KooshaPari/AgilePlus,AgilePlus,pheno (crates/agile-plus),BLOCKED,2026-07-30T00:15:00Z,policy_skip|boundary_policy,"AgilePlus boundary policy remains ARCHIVE_ONLY/PLATFORM spine; physical absorption remains blocked pending sponsor reroute."
KooshaPari/phenotype-router-spec,pheno-rt-spec-probe,phenotype-router-spec,DONE,2026-07-30T00:21:40Z,local_present|targeted|already_absorbed,"remote absent in ls-remote; canonical content already absorbed into phenotype-registry/docs/specs/router-protocol in 2026-07-17."
KooshaPari/omniroute-rs,omniroute-rs,-,BLOCKED,2026-07-30T00:21:40Z,api_not_found|no_local_dir,"remote repository not found (`git ls-remote`), no local copy available; retain as dead-candidate until manual recovery search is complete."
KooshaPari/omniroute-rs,omniroute-rs,OmniRoute (crates/omniroute-rs/),DONE,2026-07-30T00:23:20Z,already_absorbed|remote_absent|registry_authoritative,"`repo-omniroute-rs` in registry is `fsm: archived`, `absorbed_into: OmniRoute (crates/omniroute-rs/)`; no source movement required."
KooshaPari/pheno-otel,pheno-otel,PhenoObservability (pheno-otel/),DONE,2026-07-30T00:23:20Z,already_absorbed|local_absent|registry_authoritative,"Queue row stale; `repo-pheno-otel` records absorbed target `PhenoObservability (pheno-otel/)` and scope is already integrated at parent spine."
KooshaPari/PlusForges,PlusForges,PhenoPlugins,DONE,2026-07-30T00:52:10Z,archived|no_local_dir|already_absorbed,"`repo-PlusForges` is documented as `TOO_BOUND_UPSTREAM`; README-only plus-forks map already folded into `phenotype-registry/docs/ecosystem-map/plus-forks.md`."
KooshaPari/pheno-mcp-router,pheno-mcp-router,phenotype-router,DEFERRED,2026-07-30T00:52:10Z,name_collision|index_stale|evidence_only,"`repo-phenotype-mcp-router` in disposition index is `fsm: never_existed` (404 audit note). Current queue row name is stale; no physical absorb action can be executed."
KooshaPari/tehgent,tehgent,thegent,DEFERRED,2026-07-30T00:52:10Z,rename_pending|adr_hold|api_ok,"Canonical gap note from `repo-gap-20260723.json` and later disposition user decision points `tehgent -> thegent`; ADR-115 unblocks rename/merge. No source operation yet."
KooshaPari/Compound-Spheres-3D-Backup,Compound-Spheres-3D-Backup,phenotype-legacy-collection,DONE,2026-07-30T00:52:10Z,registry_authoritative|non_phenotype,"`repo-Compound-Spheres-3D-Backup` disposition is `NON_PHENOTYPE`; legacy collection spine, no product merge action."
KooshaPari/phenotypeActions,phenotypeActions,phenokits-commons,DONE,2026-07-30T00:52:10Z,archived|too_bound_upstream,"`repo-phenotypeActions` is `TOO_BOUND_UPSTREAM`; absorbed into `phenokits-commons (actions/ + docs/guides/)` and source archived."
KooshaPari/phenotype-pm-core,phenotype-pm-core,phenotype-tooling,DONE,2026-07-30T00:52:10Z,registry_absorbed|already_done,"`repo-phenotype-pm-core` shows 3 PM crates absorbed into phenotype-tooling; no local copy remains."
KooshaPari/template-commons,template-commons,phenokits-commons,DONE,2026-07-30T00:52:10Z,registry_absorbed|archive_done,"`repo-template-commons` is `AUTO_IMPORT`; absorbed into `phenokits-commons` templates; source archived/deleted."
KooshaPari/phenotype-go-kit,phenotype-go-kit,phenotype-go-sdk,DONE,2026-07-30T00:52:10Z,too_bound_upstream|absorbed,"`repo-phenotype-go-kit` disposition is `TOO_BOUND_UPSTREAM` and absorbed into `phenotype-go-sdk` family; no active queue action."
KooshaPari/Conft,Conft,phenotype-apps (apps/conft/),DONE,2026-07-30T00:52:10Z,absorbed|app_block_a,"`repo-Conft` disposition includes canonical target `phenotype-apps/apps/conft/` and absorb record exists."
KooshaPari/phenotype-infrakit,phenotype-infrakit,phenotype-tooling,DONE,2026-07-30T00:52:10Z,archived|already_integrated,"`repo-phenotype-infrakit` is `TOO_BOUND_UPSTREAM`; all 7 crates already in pheno monorepo; source archived."
KooshaPari/phenoAI,phenoAI,phenoAI,DONE,2026-07-30T00:52:10Z,registry_canonical|local_present,"`FINAL-phenoAI` marks phenoAI as canonical live spine; no source merge needed. Local checkout present."
KooshaPari/Pine,Pine,substrate (crates/pine),DEFERRED,2026-07-30T00:52:10Z,in_progress|archive_only,"`repo-Pine` is `B:WORKING` with `ARCHIVE_ONLY` note; needs explicit substrate follow-up."
KooshaPari/phenodag,phenodag,phenotype-registry,DONE,2026-07-30T00:52:10Z,partial_archive|archived_source,"`repo-phenodag` is `PARTIAL_ARCHIVE`; source archived and already reconciled in registry."
KooshaPari/PhenoRuntime,PhenoRuntime,phenotype-legacy-collection,DONE,2026-07-30T00:52:10Z,archive_only|legacy_collection,"`DSPI-12` marks `TOO_LARGE_RETIRE` and legacy path. No direct repo merge action."
KooshaPari/Apisync,Apisync,phenotype-apps (apps/apisync/),DONE,2026-07-30T00:52:10Z,absorbed|block_a_app,"`repo-Apisync-batch4` indicates absorb into `phenotype-apps/apps/apisync/`; BLOCK A app path fixed."
KooshaPari/UnityDoorstop-NexusPatched,UnityDoorstop-NexusPatched,phenotype-legacy-collection,DONE,2026-07-30T00:52:10Z,non_phenotype|legacy,"`repo-UnityDoorstop-NexusPatched` is `NON_PHENOTYPE`; routed to legacy-game-mod collection."
KooshaPari/Tasken,Tasken,phenotype-tooling,DONE,2026-07-30T00:52:10Z,archive_only|too_large_retire,"`DSPI-17` disposition is `TOO_LARGE_RETIRE`; archived-only posture with no active merge."
KooshaPari/PhenoPlugins,PhenoPlugins,pheno (crates/pheno-plugins-*),DONE,2026-07-30T00:52:10Z,already_absorbed|renamed,"`repo-PhenoPlugins` shows 5 plugin crates absorbed/renamed into pheno crates."
KooshaPari/phenotype-gfx,phenotype-gfx,pheno (crates/phenotype-gfx),DONE,2026-07-30T00:52:10Z,deleted|absorbed,"`repo-phenotype-gfx` is `TOO_LARGE_RETIRE` with absorb record into `pheno/crates/phenotype-gfx`."
KooshaPari/PhenoHandbook,PhenoHandbook,phenodocs (docs/handbook/),DONE,2026-07-30T00:52:10Z,deployed_mirror|spine_delegate,"`repo-PhenoHandbook` is `A:SPINE_CORE`; delegated mirror already in `phenodocs/docs/handbook/`."
KooshaPari/heliosBench,heliosBench,phenotype-tooling (crates/heliosbench/),DONE,2026-07-30T00:52:10Z,absorbed|legacy_reclass,"`repo-heliosBench-batch3` indicates absorb into `phenotype-tooling/crates/heliosbench/`."
KooshaPari/HeliosLab,HeliosLab,phenodocs (research/helioslab/),DONE,2026-07-30T01:24:20Z,archived|too_large_retire|boundary_canonical,"`repo-HeliosLab` is `fsm: archived`, `disp: TOO_LARGE_RETIRE`; boundary `docs/boundary/HeliosLab.md` documents archive-only research posture."
KooshaPari/KodeVibe,KodeVibe,phenotype-tooling (Tools/kodevibe/),DONE,2026-07-30T01:24:20Z,already_absorbed|deleted_source,"`repo-KodeVibe-batch3` records full absorption into `phenotype-tooling/tools/kodevibe/` with file-count verification."
KooshaPari/context-mode-plusplus,context-mode-plusplus,phenotype-router,DONE,2026-07-30T01:24:20Z,already_absorbed|omniroute_boundary,"`repo-context-mode-plusplus` is folded under OmniRoute route/middleware boundary; no standalone merge action in this wave."
KooshaPari/CivicSurvival-public,CivicSurvival-public,-,DEFERRED,2026-07-30T01:24:20Z,missing_disposition_row|local_only,"No registry `disposition-index.json` row found for CivicSurvival-public; local artifact remains unclassified (`CivicSurvival-public/` exists locally)."
KooshaPari/KWatch,KWatch,phenotype-tooling (Tools/kwatch/),DONE,2026-07-30T01:24:20Z,already_absorbed|deleted_source,"`repo-KWatch-batch3` and `docs/absorption/KWatch/README.md` show absorption into `phenotype-tooling/tools/kwatch/`."
KooshaPari/WorldSphereMod,WorldSphereMod,phenotype-registry/docs/boundary/legacy-game-mods.md,DONE,2026-07-30T01:24:20Z,archived|legacy_game|boundary_archive,"`repo-WorldSphereMod` is `fsm: archived`, `disp: TOO_LARGE_RETIRE`; boundary `legacy-game-mods.md` marks it as archive-only."
KooshaPari/Dino,Dino,phenotype-registry/docs/boundary/legacy-game-mods.md,DONE,2026-07-30T01:24:20Z,archived|legacy_game|boundary_archive,"`repo-Dino` is `fsm: archived`, `disp: TOO_LARGE_RETIRE`; boundary `legacy-game-mods.md` keeps as non-phenotype archive reference."
KooshaPari/PlayCua,PlayCua,phenoAI,BLOCKED,2026-07-30T01:18:50Z,archive_only|structural_dependency_gap|no_merge_required,"`repo-PlayCua` remains archived with ARCHIVE_ONLY after multiple Rust workspace dependency failures; source not absorbable into phenoAI in this wave."
KooshaPari/phenotype-journeys,phenotype-journeys,phenotype-journeys,DONE,2026-07-30T01:18:50Z,already_absorbed|canon_final_row|no_git_mutation,"`FINAL-phenotype-journeys` confirms canonical absorption completed; queue entry is retrospective evidence only."
KooshaPari/PhenoMCPServers,PhenoMCPServers,"PhenoMCPServers (self, fleet aggregator)",DEFERRED,2026-07-30T01:18:50Z,self_spine|archive_only|no_merge_action,"`repo-PhenoMCPServers` is canonical implementations spine + user default standalone decision; no absorb into other repo."
KooshaPari/phenotype-python-sdk,phenotype-python-sdk,phenotype-python-sdk,DONE,2026-07-30T01:18:50Z,canonical_spine|block-c,"`block-c-phenotype-python-sdk` keeps this as canonical live spine; no duplicate action in this lane."
KooshaPari/PhenoObservability,PhenoObservability,PhenoObservability,DONE,2026-07-30T01:18:50Z,canonical_spine|block-c,"`block-c-phenoobservability` records this as canonical observability spine target; queue item is evidentiary."
KooshaPari/PolicyStack,PolicyStack,phenotype-python-sdk,DONE,2026-07-30T01:18:50Z,archived|absorbed|source_retired,"`repo-PolicyStack` disposition is archived and merged into `phenotype-python-sdk/packages/policystack/`; remote removed."
