repo,pr,branch,fail_count,pending_count,action,fail_list,pending_list
cliproxyapi-plusplus,589,ci-fix-tmp-pr-305-fix,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,590,ci-fix-tmp-update-1233-test,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,591,ci-fix-tmp-pr-306-fix,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,592,ci-fix-tmp-pr-301-fix,4,0,CR_AND_CI,build|verify-required-check-names|Analyze (Go) (go)|CodeRabbit,
cliproxyapi-plusplus,593,migrated/ci-fix-feature-koosh-migrate-conflict-1579,4,0,CR_AND_CI,verify-required-check-names|Analyze (Go) (go)|build|CodeRabbit,
cliproxyapi-plusplus,594,migrated/ci-fix-feature-koosh-migrate-conflict-1686,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,595,migrated/ci-fix-feature-koosh-migrate-conflict-1699,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,596,migrated/feature-koosh-migrate-1672-fix-responses-json-corruption,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,597,migrated/feature-koosh-migrate-1673-feat-sticky-round-robin,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,598,pr311,4,0,CR_AND_CI,Analyze (Go) (go)|verify-required-check-names|build|CodeRabbit,
cliproxyapi-plusplus,599,migrated/ci-fix-feature-koosh-migrate-conflict-1302,4,0,CR_AND_CI,verify-required-check-names|Analyze (Go) (go)|build|CodeRabbit,
cliproxyapi-plusplus,600,migrated/ci-fix-feature-koosh-migrate-conflict-1314,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,601,migrated/ci-fix-feature-koosh-migrate-conflict-1539,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,602,merge/ci-batch-20260226-01,4,0,CR_AND_CI,Analyze (Go) (go)|build|ensure-no-translator-changes|CodeRabbit,
cliproxyapi-plusplus,603,lane7-process,3,0,CR_AND_CI,Analyze (Go) (go)|build|CodeRabbit,
cliproxyapi-plusplus,604,migrated/feature-koosh-migrate-1682-fix-tool-result-image-parts,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,605,migrated/feature-koosh-migrate-conflict-1302,4,0,CR_AND_CI,Analyze (Go) (go)|verify-required-check-names|build|CodeRabbit,
cliproxyapi-plusplus,606,migrated/feature-koosh-migrate-conflict-1314,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,607,migrated/feature-koosh-migrate-1684-fix-input-audio-from-openai-to-antigravity,4,0,CR_AND_CI,Analyze (Go) (go)|verify-required-check-names|build|CodeRabbit,
cliproxyapi-plusplus,608,chore/fix-codex-auth-package-path,3,0,CI_ONLY,verify-required-check-names|Analyze (Go) (go)|Build Docs,
cliproxyapi-plusplus,609,codex/merge-ci-batch-20260226-01-fixes,3,0,CI_ONLY,verify-required-check-names|Analyze (Go) (go)|Build Docs,
cliproxyapi-plusplus,610,chore/fix-codex-auth-package-path-ci-markers,2,0,CI_ONLY,Analyze (Go) (go)|build,
cliproxyapi-plusplus,611,codex/pr549-register-sdkconfig-directly,3,0,CI_ONLY,Analyze (Go) (go)|build|verify-required-check-names,
cliproxyapi-plusplus,612,codex/pr551-register-sdkconfig-directly,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,613,codex/pr551-register-sdkconfig-directly-v2,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,614,codex/pr552-register-sdkconfig-directly,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,615,codex/pr556-fix-gitignore-review,4,0,CR_AND_CI,Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,616,migrated/router-20260225060000-feature_ampcode-alias,2,0,CI_ONLY,Analyze (Go) (go)|build,
cliproxyapi-plusplus,617,feature/replay-1698-strip-empty-messages-openai-to-claude,5,0,CR_AND_CI,ensure-no-translator-changes|Analyze (Go) (go)|build|verify-required-check-names|CodeRabbit,
cliproxyapi-plusplus,618,fix/cliproxyapi-module-path-origin-route,0,0,PASS,,
thegent,478,fix/remove-broken-dag-files,1,0,CR_ONLY_RETRY,CodeRabbit,
thegent,480,fix/cli-test-fixes,5,3,CI_ONLY,Test (ubuntu-latest, Python 3.12)|Test (macos-latest, Python 3.12)|Test (windows-latest, Python 3.12)|Comprehensive Benchmark|Build wheels,Leak Detection (Comprehensive)|CI Preflight|Zig ABI Readiness Gate (WL-132)
thegent,482,no-litellm,12,3,CI_ONLY,Test (windows-latest, Python 3.12)|Test (ubuntu-latest, Python 3.12)|Build Docs|Build wheels|Test (macos-latest, Python 3.12)|Build thegent-agents|Build thegent-mcp|Build thegent-sdk|Comprehensive Benchmark|Package Boundary Enforcement|Architecture Boundary Check|CI Placeholder (Local Hooks),CI Preflight|Zig ABI Readiness Gate (WL-132)|Leak Detection (Comprehensive)
thegent,493,fix/tests-v4,0,0,PASS,,
thegent,494,fix/orjson-v2,1,0,CR_ONLY_RETRY,CodeRabbit,
thegent,496,fix/tests3,0,0,PASS,,
thegent,497,chore/cliproxyctl-auto-install,6,3,CI_ONLY,Test (macos-latest, Python 3.12)|Test (windows-latest, Python 3.12)|Build wheels|Test (ubuntu-latest, Python 3.12)|Build Docs|Comprehensive Benchmark,CI Preflight|Leak Detection (Comprehensive)|Zig ABI Readiness Gate (WL-132)
